confederation,slider_level,length_scale_years,year,mean,p5,p95
CONMEBOL,2.5,10.74,1999,1808.4044457257885,1793.0467117030316,1823.7621797485451
CONMEBOL,2.5,10.74,2000,1813.1698943005965,1797.64302772668,1828.696760874513
CONMEBOL,2.5,10.74,2001,1818.6905350113632,1802.9606149278222,1834.4204550949041
CONMEBOL,2.5,10.74,2002,1824.9736640675214,1809.0359811246337,1840.9113470104091
CONMEBOL,2.5,10.74,2003,1832.0276666577995,1815.9161486415676,1848.1391846740314
CONMEBOL,2.5,10.74,2004,1839.8503272377727,1823.6623001068895,1856.038354368656
CONMEBOL,2.5,10.74,2005,1848.41551615424,1832.3213312991115,1864.5097010093689
CONMEBOL,2.5,10.74,2006,1857.6606249115723,1841.872030431096,1873.4492193920487
CONMEBOL,2.5,10.74,2007,1867.4771458956473,1852.1663406005946,1882.7879511906997
CONMEBOL,2.5,10.74,2008,1877.706391360462,1862.8932377605524,1892.5195449603716
CONMEBOL,2.5,10.74,2009,1888.1415885183196,1873.6017575369244,1902.6814194997148
CONMEBOL,2.5,10.74,2010,1898.5366043992021,1883.8175262383809,1913.2556825600232
CONMEBOL,2.5,10.74,2011,1908.6205162799072,1893.2146088876787,1924.026423672136
CONMEBOL,2.5,10.74,2012,1918.1163288261305,1901.6984888671025,1934.5341687851585
CONMEBOL,2.5,10.74,2013,1926.7615011477405,1909.3306391002748,1944.1923631952063
CONMEBOL,2.5,10.74,2014,1934.327688082335,1916.199472680487,1952.4559034841832
CONMEBOL,2.5,10.74,2015,1940.6372540813109,1922.331534267582,1958.94297389504
CONMEBOL,2.5,10.74,2016,1945.5746457514329,1927.6392528977933,1963.5100386050726
CONMEBOL,2.5,10.74,2017,1949.091506707042,1931.8710394488007,1966.3119739652832
CONMEBOL,2.5,10.74,2018,1951.2053388616503,1934.5572169420866,1967.853460781214
CONMEBOL,2.5,10.74,2019,1951.9923964366808,1935.0437468010339,1968.9410460723277
CONMEBOL,2.5,10.74,2020,1951.5761988609836,1932.8036699990323,1970.3487277229349
CONMEBOL,2.5,10.74,2021,1950.1134665521938,1927.8524068546135,1972.3745262497741
CONMEBOL,2.5,10.74,2022,1947.77937996442,1920.695755374536,1974.863004554304
CONMEBOL,2.5,10.74,2023,1944.7538609306819,1911.9670139453458,1977.540707916018
CONMEBOL,2.5,10.74,2024,1941.2101517324904,1902.2258083018646,1980.1944951631162
CONMEBOL,2.5,10.74,2025,1937.306427494987,1891.925363068629,1982.6874919213453
CONMEBOL,2.5,10.74,2026,1933.180632366064,1881.4276260650777,1984.93363866705
CONMEBOL,5.0,21.47,1992,1789.1419330602853,1768.4955916430583,1809.788274477512
CONMEBOL,5.0,21.47,1993,1791.5518924912078,1773.025848752339,1810.0779362300764
CONMEBOL,5.0,21.47,1994,1794.4481178885928,1777.3498012597124,1811.5464345174732
CONMEBOL,5.0,21.47,1995,1797.8378796559882,1781.5505402558376,1814.1252190561388
CONMEBOL,5.0,21.47,1996,1801.7226579865307,1785.78693185519,1817.6583841178715
CONMEBOL,5.0,21.47,1997,1806.0977200164605,1790.2492419490777,1821.946198083843
CONMEBOL,5.0,21.47,1998,1810.9518070652225,1795.1079595356946,1826.7956545947507
CONMEBOL,5.0,21.47,1999,1816.2669478493324,1800.4834624704213,1832.0504332282433
CONMEBOL,5.0,21.47,2000,1822.018410640183,1806.4382818495997,1837.5985394307663
CONMEBOL,5.0,21.47,2001,1828.1748037416176,1812.9809541997436,1843.3686532834918
CONMEBOL,5.0,21.47,2002,1834.6983294914814,1820.0725670356796,1849.3240919472833
CONMEBOL,5.0,21.47,2003,1841.5451923772582,1827.6322372334357,1855.4581475210805
CONMEBOL,5.0,21.47,2004,1848.6661569641753,1835.5411691306883,1861.7911447976624
CONMEBOL,5.0,21.47,2005,1856.0072463535794,1843.6473182359148,1868.3671744712442
CONMEBOL,5.0,21.47,2006,1863.5105670241737,1851.7754134321633,1875.2457206161841
CONMEBOL,5.0,21.47,2007,1871.1152413687958,1859.7490342888955,1882.481448448696
CONMEBOL,5.0,21.47,2008,1878.7584252296283,1867.426161076751,1890.0906893825056
CONMEBOL,5.0,21.47,2009,1886.3763844437024,1874.7325853661919,1898.0201835212126
CONMEBOL,5.0,21.47,2010,1893.9056019999423,1881.6674782171488,1906.1437257827358
CONMEBOL,5.0,21.47,2011,1901.283886003861,1888.2768669250624,1914.2909050826595
CONMEBOL,5.0,21.47,2012,1908.4514483268777,1894.6182271479954,1922.28466950576
CONMEBOL,5.0,21.47,2013,1915.3519246146122,1900.736151992649,1929.9676972365753
CONMEBOL,5.0,21.47,2014,1921.933308220113,1906.650961783294,1937.2156546569324
CONMEBOL,5.0,21.47,2015,1928.1487735391092,1912.3538800086305,1943.9436670695882
CONMEBOL,5.0,21.47,2016,1933.9573680312642,1917.8034787594188,1950.1112573031096
CONMEBOL,5.0,21.47,2017,1939.3245567476974,1922.9212418630566,1955.7278716323383
CONMEBOL,5.0,21.47,2018,1944.2226082505376,1927.5871316747584,1960.8580848263168
CONMEBOL,5.0,21.47,2019,1948.6308161819786,1931.6397159029405,1965.6219164610168
CONMEBOL,5.0,21.47,2020,1952.535556184448,1934.889207889634,1970.1819044792621
CONMEBOL,5.0,21.47,2021,1955.9301831581809,1937.1501931394084,1974.7101731769533
CONMEBOL,5.0,21.47,2022,1958.8147787499279,1938.2866284099352,1979.3429290899205
CONMEBOL,5.0,21.47,2023,1961.1957633042086,1938.2441355667374,1984.1473910416798
CONMEBOL,5.0,21.47,2024,1963.0853901183689,1937.0501803066506,1989.1205999300869
CONMEBOL,5.0,21.47,2025,1964.5011426082024,1934.7896749309773,1994.2126102854272
CONMEBOL,5.0,21.47,2026,1965.4650568411087,1931.5770763966948,1999.3530372855225
CAF,0.4,3.26,1992,1539.529511045506,1524.7790447686712,1554.279977322341
CAF,0.4,3.26,1993,1539.4264141677002,1526.1647094432817,1552.6881188921188
CAF,0.4,3.26,1994,1538.336380273547,1526.4892645031978,1550.1834960438962
CAF,0.4,3.26,1995,1536.644647306839,1526.1199368862747,1547.1693577274034
CAF,0.4,3.26,1996,1534.9612611443827,1525.4235415735614,1544.498980715204
CAF,0.4,3.26,1997,1533.3907907571531,1524.283438608176,1542.4981429061302
CAF,0.4,3.26,1998,1531.9816875946108,1522.8111973332475,1541.1521778559743
CAF,0.4,3.26,1999,1530.897277712587,1521.4955615568342,1540.2989938683397
CAF,0.4,3.26,2000,1530.4035398894105,1521.0386569039922,1539.7684228748287
CAF,0.4,3.26,2001,1530.5170307237145,1521.4017244580311,1539.632336989398
CAF,0.4,3.26,2002,1530.6277523043987,1521.8092747688445,1539.4462298399528
CAF,0.4,3.26,2003,1531.3385460311877,1522.9264168944856,1539.75067516789
CAF,0.4,3.26,2004,1533.0291637572202,1524.3466571581982,1541.7116703562424
