month,threshold,confederation,share,share_pct
2012-07,20,UEFA,0.1,10.0
2012-08,20,AFC,0.1,10.0
2012-08,20,CAF,0.05,5.0
2012-08,20,CONCACAF,0.05,5.0
2012-08,20,CONMEBOL,0.25,25.0
2012-08,20,OFC,0.0,0.0
2012-08,20,UEFA,0.55,55.00000000000001
2012-09,20,AFC,0.05,5.0
2012-09,20,CAF,0.05,5.0
2012-09,20,CONCACAF,0.1,10.0
2012-09,20,CONMEBOL,0.25,25.0
2012-09,20,OFC,0.0,0.0
2012-09,20,UEFA,0.55,55.00000000000001
2012-10,20,AFC,0.05,5.0
2012-10,20,CAF,0.05,5.0
2012-10,20,CONCACAF,0.1,10.0
2012-10,20,CONMEBOL,0.25,25.0
2012-10,20,OFC,0.0,0.0
2012-10,20,UEFA,0.55,55.00000000000001
2012-11,20,AFC,0.1,10.0
2012-11,20,CAF,0.05,5.0
2012-11,20,CONCACAF,0.1,10.0
2012-11,20,CONMEBOL,0.15,15.0
2012-11,20,OFC,0.0,0.0
2012-11,20,UEFA,0.6,60.0
2012-12,20,AFC,0.4,40.0
2012-12,20,CAF,0.35,35.0
2012-12,20,CONCACAF,0.1,10.0
2012-12,20,CONMEBOL,0.05,5.0
2012-12,20,OFC,0.0,0.0
2012-12,20,UEFA,0.1,10.0
2013-01,20,AFC,0.2,20.0
2013-01,20,CAF,0.35,35.0
2013-01,20,CONCACAF,0.25,25.0
2013-01,20,CONMEBOL,0.05,5.0
2013-01,20,OFC,0.0,0.0
2013-01,20,UEFA,0.15,15.0
2013-02,20,AFC,0.05,5.0
2013-02,20,CAF,0.05,5.0
2013-02,20,CONCACAF,0.05,5.0
2013-02,20,CONMEBOL,0.25,25.0
2013-02,20,OFC,0.0,0.0
2013-02,20,UEFA,0.6,60.0
2013-03,20,AFC,0.05,5.0
2013-03,20,CAF,0.05,5.0
2013-03,20,CONCACAF,0.1,10.0
2013-03,20,CONMEBOL,0.2,20.0
2013-03,20,OFC,0.0,0.0
2013-03,20,UEFA,0.6,60.0
2013-04,20,AFC,0.18181818181818182,18.181818181818183
2013-04,20,CAF,0.18181818181818182,18.181818181818183
2013-04,20,CONCACAF,0.2727272727272727,27.27272727272727
2013-04,20,CONMEBOL,0.36363636363636365,36.36363636363637
2013-04,20,OFC,0.0,0.0
2013-04,20,UEFA,0.0,0.0
2013-05,20,AFC,0.2,20.0
2013-05,20,CAF,0.2,20.0
2013-05,20,CONCACAF,0.2,20.0
2013-05,20,CONMEBOL,0.05,5.0
2013-05,20,OFC,0.0,0.0
2013-05,20,UEFA,0.35,35.0
2013-06,20,AFC,0.0,0.0
2013-06,20,CAF,0.05,5.0
2013-06,20,CONCACAF,0.15,15.0
