confederation,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA,2000-08,7.267672615709818,7.240163792748214,7.29745382221114,1433.4346501509283,1394.322332069772,1476.5356152232384
UEFA,2000-09,7.267934954624903,7.240433183343173,7.297651953654555,1433.8107038259514,1394.697999989995,1476.8281926649004
UEFA,2000-10,7.268196692117627,7.240725116289723,7.297848476910278,1434.1859916411436,1395.1052178741215,1477.1184528005924
UEFA,2000-11,7.268457781660258,7.2409888164856655,7.298096424495374,1434.5604463406482,1395.473155996545,1477.4847461309228
UEFA,2000-12,7.268718176725062,7.241231519214545,7.298352416205487,1434.934000604443,1395.8118821614548,1477.8630182310042
UEFA,2001-01,7.268977830784306,7.241474873384768,7.298606855388354,1435.3065870479436,1396.1516000198092,1478.2390921669278
UEFA,2001-02,7.26923669731026,7.241718125575864,7.298859711024626,1435.678138221676,1396.4912582076502,1478.612920353571
UEFA,2001-03,7.269494729775186,7.241981382404018,7.2991109520949555,1436.0485866109989,1396.8589424749875,1478.9844551699073
UEFA,2001-04,7.269751881651355,7.24225170942621,7.299360547579993,1436.4178646358866,1397.2366023139248,1479.3536489596172
UEFA,2001-05,7.270008106411033,7.242487684668002,7.299608466460391,1436.7859046507785,1397.5663544471647,1479.7204540317307
UEFA,2001-06,7.270263357526487,7.242723899344374,7.299854677716802,1437.1526389444832,1397.8965191113023,1480.084822661278
UEFA,2001-07,7.270517588469982,7.242960520442755,7.300091145969013,1437.5179997401376,1398.2273300362365,1480.434857107703
UEFA,2001-08,7.27077075271379,7.243241755831414,7.300307991997746,1437.8819191952396,1398.620616369848,1480.7559183834346
UEFA,2001-09,7.271022803730174,7.243553685095848,7.300521799267741,1438.2443294017287,1399.056955569132,1481.0725487231568
UEFA,2001-10,7.271273694991401,7.243856705612856,7.300732606850205,1438.6051623861297,1399.4809635136166,1481.3848031425966
UEFA,2001-11,7.271523379969742,7.244062691787365,7.300940453816351,1438.9643501097623,1399.7692665546583,1481.6927367451
UEFA,2001-12,7.2717718121374615,7.244266012808197,7.30115703991694,1439.3218244690056,1400.053897600227,1482.0136857680902
UEFA,2002-01,7.272018944966825,7.244468647768587,7.301471738852197,1439.6775172956227,1400.3376257595082,1482.4801466337842
UEFA,2002-02,7.272264731930101,7.244730254854481,7.301771704803863,1440.0313603571512,1400.7040120617457,1482.924906742269
UEFA,2002-03,7.272509126499557,7.245016529762884,7.302007196035136,1440.3832853573515,1401.1050563320414,1483.2741640119048
UEFA,2002-04,7.27275208214746,7.245303249823017,7.302240715118486,1440.7332239367113,1401.5068392855012,1483.6205781165231
UEFA,2002-05,7.272993552346077,7.24559033372154,7.302472223081297,1441.0811076730229,1401.9092472818927,1483.964089191855
UEFA,2002-06,7.2732334905676765,7.24587706111054,7.302701680950961,1441.4268680820112,1402.3112707170499,1484.3046373349605
UEFA,2002-07,7.273471850284522,7.246162681755651,7.302929049754861,1441.7704366180242,1402.711856990099,1484.6421626053898
UEFA,2002-08,7.273708584968883,7.246422458800239,7.303146752449782,1442.1117446747917,1403.0762963595728,1484.9654064903466
UEFA,2002-09,7.273943648093027,7.246654412325138,7.303361470653451,1442.4507235862397,1403.4017820866443,1485.2842879010534
UEFA,2002-10,7.274176993129219,7.246884116189532,7.30357398445848,1442.787304627365,1403.7241855979198,1485.599963419004
UEFA,2002-11,7.274408573549728,7.247111511264374,7.303784264221549,1443.1214190151773,1404.0434217296836,1485.912386931226
UEFA,2002-12,7.2746383428268215,7.247332865243105,7.304024095644893,1443.4529979097001,1404.3542467431791,1486.268797706601
UEFA,2003-01,7.274866254432764,7.247551213687581,7.30420714515646,1443.7819724150295,1404.660918851849,1486.5408839514907
UEFA,2003-02,7.275092261839825,7.247767029971683,7.304415189125567,1444.108273580464,1404.9641003762617,1486.850182069736
UEFA,2003-03,7.275316318520272,7.247980260122262,7.304618011605414,1444.4318324016892,1405.2637131794488,1487.1517789013237
